County,NUTS_II,Foot
Kildare,SE,14
Kildare,SE,26
Kildare,SE,13
Kildare,SE,4
Kildare,SE,11
Kildare,SE,25
Kildare,SE,12
Kildare,SE,46
Kildare,SE,8
Kildare,SE,14
Kildare,SE,42
Kildare,SE,48
Kildare,SE,36
Kildare,SE,22
Kildare,SE,21
Kildare,SE,45
Kildare,SE,11
Kildare,SE,10
Kildare,SE,22
Kildare,SE,36
Kildare,SE,6
Kildare,SE,11
Kildare,SE,19
Kildare,SE,15
Kildare,SE,14
Kildare,SE,20
Kildare,SE,38
Kildare,SE,20
Kildare,SE,20
Kildare,SE,4
Kildare,SE,17
Kildare,SE,28
Kildare,SE,4
Kildare,SE,26
Kildare,SE,11
Kildare,SE,2
Kildare,SE,16
Kildare,SE,9
Kildare,SE,35
Kildare,SE,14
Kildare,SE,25
Kildare,SE,8
Kildare,SE,25
Kildare,SE,49
Kildare,SE,44
Kildare,SE,6
Kildare,SE,7
Kildare,SE,3
Kildare,SE,8
Kildare,SE,2
Kildare,SE,4
Kildare,SE,26
Kildare,SE,4
Kildare,SE,1
Kildare,SE,1
Kildare,SE,10
Kildare,SE,29
Kildare,SE,6
Kildare,SE,4
Kildare,SE,10
Kildare,SE,4
Kildare,SE,4
Kildare,SE,2
Kildare,SE,1
Kildare,SE,7
Kildare,SE,4
Kildare,SE,2
Kildare,SE,6
Kildare,SE,10
Kildare,SE,32
Kildare,SE,20
Kildare,SE,34
Kildare,SE,39
Kildare,SE,24
Kildare,SE,54
Kildare,SE,14
Kildare,SE,11
Kildare,SE,9
Kildare,SE,24
Kildare,SE,1
Kildare,SE,35
Kildare,SE,46
Kildare,SE,38
Kildare,SE,24
Kildare,SE,48
Kildare,SE,10
Kildare,SE,2
Kildare,SE,36
Kildare,SE,35
Kildare,SE,39
Kildare,SE,85
Kildare,SE,56
Kildare,SE,93
Kildare,SE,22
Kildare,SE,14
Kildare,SE,25
Kildare,SE,19
Kildare,SE,15
Kildare,SE,19
Kildare,SE,14
Kildare,SE,29
Kildare,SE,16
Kildare,SE,29
Kildare,SE,34
Kildare,SE,27
Kildare,SE,44
Kildare,SE,14
Kildare,SE,60
Kildare,SE,40
Kildare,SE,28
Kildare,SE,40
Kildare,SE,5
Kildare,SE,17
Kildare,SE,30
Kildare,SE,39
Kildare,SE,21
Kildare,SE,15
Kildare,SE,27
Kildare,SE,4
Kildare,SE,71
Kildare,SE,12
Kildare,SE,4
Kildare,SE,13
Kildare,SE,10
Kildare,SE,27
Kildare,SE,13
Kildare,SE,22
Kildare,SE,13
Kildare,SE,49
Kildare,SE,12
Kildare,SE,8
Kildare,SE,16
Kildare,SE,4
Kildare,SE,2
Kildare,SE,7
Kildare,SE,8
Kildare,SE,6
Kildare,SE,8
Kildare,SE,5
Kildare,SE,3
Kildare,SE,10
Kildare,SE,7
Kildare,SE,2
Kildare,SE,3
Kildare,SE,3
Kildare,SE,20
Kildare,SE,16
Kildare,SE,17
Kildare,SE,9
Kildare,SE,20
Kildare,SE,1
Kildare,SE,5
Kildare,SE,5
Kildare,SE,2
Kildare,SE,3
Kildare,SE,10
Kildare,SE,7
Kildare,SE,4
Kilkenny,SE,43
Kilkenny,SE,46
Kilkenny,SE,52
Kilkenny,SE,59
Kilkenny,SE,96
Kilkenny,SE,43
Kilkenny,SE,47
Kilkenny,SE,40
Kilkenny,SE,55
Kilkenny,SE,65
Kilkenny,SE,37
Kilkenny,SE,22
Kilkenny,SE,41
Kilkenny,SE,40
Kilkenny,SE,49
Kilkenny,SE,78
Kilkenny,SE,35
Kilkenny,SE,31
Kilkenny,SE,26
Kilkenny,SE,40
Kilkenny,SE,66
Kilkenny,SE,39
Kilkenny,SE,16
Kilkenny,SE,44
Kilkenny,SE,20
Kilkenny,SE,32
Kilkenny,SE,30
Kilkenny,SE,23
Kilkenny,SE,36
Kilkenny,SE,24
Kilkenny,SE,81
Kilkenny,SE,37
Kilkenny,SE,55
Kilkenny,SE,61
Kilkenny,SE,39
Kilkenny,SE,20
Kilkenny,SE,26
Kilkenny,SE,23
Kilkenny,SE,39
Kilkenny,SE,9
Kilkenny,SE,4
Kilkenny,SE,3
Kilkenny,SE,6
Kilkenny,SE,13
Kilkenny,SE,16
Kilkenny,SE,34
Kilkenny,SE,57
Kilkenny,SE,30
Kilkenny,SE,11
Kilkenny,SE,18
Kilkenny,SE,49
Kilkenny,SE,23
Kilkenny,SE,34
Kilkenny,SE,16
Kilkenny,SE,7
Kilkenny,SE,15
Kilkenny,SE,2
Kilkenny,SE,16
Kilkenny,SE,23
Kilkenny,SE,23
Kilkenny,SE,15
Kilkenny,SE,7
Kilkenny,SE,6
Kilkenny,SE,9
Kilkenny,SE,15
Kilkenny,SE,13
Kilkenny,SE,2
Kilkenny,SE,5
Kilkenny,SE,5
Kilkenny,SE,3
Kilkenny,SE,2
Kilkenny,SE,4
Kilkenny,SE,10
Kilkenny,SE,4
Kilkenny,SE,1
Kilkenny,SE,8
Kilkenny,SE,9
Kilkenny,SE,11
Kilkenny,SE,4
Kilkenny,SE,4
Kilkenny,SE,11
Kilkenny,SE,8
Kilkenny,SE,18
Kilkenny,SE,9
Kilkenny,SE,5
Kilkenny,SE,6
Kilkenny,SE,7
Kilkenny,SE,4
Kilkenny,SE,8
Kilkenny,SE,6
Kilkenny,SE,12
Kilkenny,SE,7
Kilkenny,SE,7
Kilkenny,SE,34
Kilkenny,SE,11
Kilkenny,SE,37
Kilkenny,SE,35
Kilkenny,SE,17
Kilkenny,SE,22
Kilkenny,SE,8
Kilkenny,SE,37
Kilkenny,SE,11
Kilkenny,SE,58
Kilkenny,SE,45
Kilkenny,SE,8
Kilkenny,SE,17
Kilkenny,SE,15
Kilkenny,SE,6
Kilkenny,SE,5
Kilkenny,SE,5
Kilkenny,SE,11
Kilkenny,SE,6
Kilkenny,SE,6
Kilkenny,SE,3
Kilkenny,SE,3
Kilkenny,SE,7
Kilkenny,SE,18
Kilkenny,SE,3
Kilkenny,SE,6
Kilkenny,SE,12
Kilkenny,SE,0
Kilkenny,SE,7
Kilkenny,SE,3
Kilkenny,SE,1
Kilkenny,SE,2
Kilkenny,SE,10
Kilkenny,SE,20
Kilkenny,SE,12
Kilkenny,SE,4
Kilkenny,SE,6
Kilkenny,SE,6
Kilkenny,SE,8
Kilkenny,SE,6
Kilkenny,SE,3
Kilkenny,SE,12
Kilkenny,SE,7
Kilkenny,SE,15
Kilkenny,SE,7
Kilkenny,SE,25
Kilkenny,SE,8
Kilkenny,SE,9
Kilkenny,SE,7
Kilkenny,SE,9
Kilkenny,SE,16
Kilkenny,SE,1
Kilkenny,SE,23
Kilkenny,SE,8
Kilkenny,SE,37
Kilkenny,SE,5
Kilkenny,SE,12
Kilkenny,SE,13
Kilkenny,SE,17
Kilkenny,SE,16
Kilkenny,SE,7
Kilkenny,SE,13
Kilkenny,SE,5
Kilkenny,SE,6
Kilkenny,SE,20
Kilkenny,SE,21
Kilkenny,SE,14
Kilkenny,SE,63
Kilkenny,SE,27
Kilkenny,SE,33
Kilkenny,SE,27
Kilkenny,SE,21
Kilkenny,SE,7
Kilkenny,SE,12
Kilkenny,SE,19
Kilkenny,SE,5
Kilkenny,SE,31
Kilkenny,SE,27
Kilkenny,SE,57
Kilkenny,SE,64
Kilkenny,SE,27
Kilkenny,SE,35
Kilkenny,SE,30
Kilkenny,SE,39
Kilkenny,SE,42
Kilkenny,SE,17
Kilkenny,SE,25
Kilkenny,SE,38
Kilkenny,SE,42
Kilkenny,SE,23
Kilkenny,SE,62
Kilkenny,SE,21
Kilkenny,SE,59
Kilkenny,SE,31
Kilkenny,SE,44
Kilkenny,SE,3
Kilkenny,SE,5
Kilkenny,SE,10
Kilkenny,SE,16
Kilkenny,SE,29
Kilkenny,SE,38
Kilkenny,SE,25
Kilkenny,SE,41
Kilkenny,SE,33
Kilkenny,SE,13
Kilkenny,SE,19
Kilkenny,SE,281
Kilkenny,SE,28
Kilkenny,SE,14
Kilkenny,SE,15
Kilkenny,SE,28
Kilkenny,SE,22
Kilkenny,SE,24
Kilkenny,SE,24
Kilkenny,SE,44
Kilkenny,SE,39
Kilkenny,SE,33
Kilkenny,SE,24
Kilkenny,SE,13
Kilkenny,SE,21
Kilkenny,SE,13
Kilkenny,SE,27
Kilkenny,SE,23
Kilkenny,SE,25
Kilkenny,SE,18
Kilkenny,SE,4
Kilkenny,SE,10
Kilkenny,SE,9
Kilkenny,SE,4
Kilkenny,SE,5
Kilkenny,SE,12
Kilkenny,SE,2
Kilkenny,SE,7
Kilkenny,SE,21
Kilkenny,SE,25
Kilkenny,SE,8
Kilkenny,SE,3
Kilkenny,SE,1
Kilkenny,SE,5
Kilkenny,SE,8
Kilkenny,SE,7
Kilkenny,SE,7
Kilkenny,SE,21
Kilkenny,SE,0
Kilkenny,SE,3
Kilkenny,SE,10
Kilkenny,SE,6
Kilkenny,SE,1
Kilkenny,SE,7
Kilkenny,SE,7
Kilkenny,SE,3
Kilkenny,SE,6
Kilkenny,SE,18
Kilkenny,SE,36
Kilkenny,SE,5
Kilkenny,SE,3
Kilkenny,SE,2
Kilkenny,SE,5
Kilkenny,SE,8
Kilkenny,SE,6
Kilkenny,SE,10
Kilkenny,SE,5
Kilkenny,SE,12
Kilkenny,SE,6
Kilkenny,SE,5
Kilkenny,SE,25
Kilkenny,SE,14
Kilkenny,SE,2
Kilkenny,SE,51
Kilkenny,SE,5
Kilkenny,SE,32
Kilkenny,SE,12
Kilkenny,SE,28
Kilkenny,SE,9
